name,entity
Hotel Isola Sacra,CgsIzdiL7-aGzIafARAB
Rome Marriott Park Hotel,CgoI9O71x6qYvqxsEAE
Courtyard by Marriott Rome Central Park,CgsI7Oqhuu7Bx5-NARAB
Hotel Castel Vecchio,CgsImfWextH4ndDpARAB
A.Roma Lifestyle Hotel,CgoI79fr9ceH4-VWEAE
Hilton Rome Airport,CgsIhayFrKC1n4iPARAB
Best Western Hotel Rome Airport,CgoIqu2Ek6ih16IdEAE
Caravel Hotel - 4 stars,CgsI0fq37-b7m4CDARAB
Hotel Domidea,CgsIs_jKh7ne9Y7QARAB
Hotel Roma Tor Vergata,CgsIz5iys9Wrp931ARAB
Grand Hotel Duca D'Este,CgsIt-vh-te6w7DqARAB
Park Hotel Villa Grazioli,CgsIisvG9-vj1evUARAB
Hotel Flora,CgoIqYyijbjt-MheEAE
Sheraton Parco de' Medici Rome Hotel,CgoIoM3x8Me70v9OEAE
Victoria Terme Hotel,CgoIn7vlm93wkJhhEAE
Hotel Relax Roma Nord,CgsIld_29pqc4ZyGARAB
Quality Hotel Green Palace,CgsIxbfry5usuYD2ARAB
SIMON HOTEL,CgoIqtDNvJWDubsREAE
Altea Suites Hotel Residence,CgoIwrvwscTXw69fEAE
Seccy Hotel,CgoIydzepseh-LZjEAE
Rome Art Hotel,CgoI4JaW9dL3t5sfEAE
Novotel Roma Est,CgoImOnK06OW2dF_EAE
Cardinal Hotel St. Peter,CgsIhcvmzNL_78mCARAB
Hotel Occidental Aurelia,CgoI7e7txeHJ-O5-EAE
Raganelli Hotel,CgsI4vmQpoOn6qHgARAB
ibis Styles Roma Vintage,CgoIu7j-s--5psYZEAE
Hotel Cristoforo Colombo,CgsIx8Ha4u3X25qrARAB
Residenze Gregoriane - Residenza d'Epoca,CgoI_Kr_8ZD9z_MCEAE
Best Western Park Hotel,CgoI1v2f0ffZ-tUiEAE
SHG Hotel Antonella,CgoI6qbcisjRu_Q1EAE
Hotel Relais Castrum Boccea,CgsI9b7QquvnzO_PARAB
Park Hotel Imperatore Adriano,CgoIzufklp_k5f4nEAE
La Locanda del Pontefice Luxury Country House,CgoI-bfBia6l_MgfEAE
Hotel La Giocca,CgoIteXY2-SvzrluEAE
Best Western Hotel I Triangoli,CgsI-4XFo_KH24S7ARAB
Hotel President Pomezia,CgoIrL-AmLCDw4MvEAE
Veio Residence Resort,CgoIrLeP0efM37F5EAE
Farm Monte dell'Olmo,CgoIzf_Q6Om0rPhxEAE
NH Roma Villa Carpegna,CgoI3cfZ1q3xirg3EAE
Hotel Torino,CgsIgYrM8K-HrKKQARAB
Hotel 77 Seventy Seven,CgsIuoq3ve_GguK-ARAB
Hotel Turner,CgsIo76MsNuY-PzyARAB
Hilton Garden Inn Rome Claridge,CgsI4_Ls6cCqy7KfARAB
THE ONE Boutique Hotel Cocktail bar & SPA Roma,CgoIjPro-4Gb1IQnEAE
Pineta Palace Hotel Roma,CgoIsYvE65DimeYXEAE
iRooms Central Station,CgoIxN7W5_2OvZE1EAE
Hotel Rinascimento,CgoIsdr655_JpfhaEAE
Cardilli Luxury Rooms,CgoIz5up18mIrqwEEAE
Mercure Roma West,CgsInMH55YKrgKe-ARAB
iRooms Forum & Colosseum,CgsIz9msrLj5vLChARAB
Relais Vittoria Colonna,CgoInojbn_rG0LUoEAE
Royal Palace Luxury Hotel,CgoIvNrsn9yWvZthEAE
Roma Boutique Hotel,CgoIi4qmsfGnju1OEAE
Club House Hotel Rome,CgoIlIjKto79yfM5EAE
Hotel Palladium Palace,CgsI2qXTw4j8k92WARAB
Atlante Star Hotel,CgoIkoic0ebniLkKEAE
Occidental Aran Park,CgoIycrz9-zR3uVQEAE
Hotel Giulio Cesare,CgoIhpjFrfG6r65yEAE
Hotel Artis,CgoI38bY8ZKolK1qEAE
Hotel Gioberti,CgsIvNjPrcDFqN34ARAB
Hotel Diana Roof Garden Rome,CgoIqOmj2dWa-udIEAE
Rome Marriott Grand Hotel Flora,CgsIqeikvMHy1cOsARAB
Aurelius Art Gallery Smart Hotel Rome,CgsIr_iU-bbSifPoARAB
Hotel Royal Court,CgoI1qG6jsP4_50iEAE
Hotel Pantheon,CgoIns6rzqClx-pOEAE
Marcella Royal Hotel,CgsI88OmyPuc1cDEARAB
Hotel Archimede,CgsIs__C3IOEiZqlARAB
Trevi Collection Hotel,CgkI9syA4bu-z2wQAQ
Hotel Clodio,CgoItLiL9OfC5qAuEAE
The Building Hotel,CgsI55682v3evcyQARAB
iH Hotels Roma Cicerone,CgsI5ZDsuLKh-Jq6ARAB
Hotel Emona Aquaeductus,CgoIv8qom4Hk7780EAE
ibis Styles Roma Eur,CgsI2cmZqNWGkanSARAB
Hotel Quirinale,CgoIytTm5LDZntdPEAE
The Hoxton,CgoI0LKF1bKvuc5PEAE
Otivm Hotel,CgsInIPrkrzsnvyhARAB
Inn Rome Rooms & Suites,CgsIp8jqkMbm5KbRARAB
MDM Luxury Rooms,CgsI14mcsOzL95GrARAB
iH Hotels Roma Z3,CgsI5YrXxrjiiZTUARAB
Rome Times Hotel,CgsI-5XBzcfdu4LGARAB
The Hive Hotel,CgsIhb3ch9Wm-9izARAB
Hotel Barceló Aran Mantegna,CgsI9sm9m8GzkKf_ARAB
Best Western Hotel President,CgoIy9-oxMWD5uhXEAE
Atlante Garden Hotel,CgoIrZGH_KaM9sZsEAE
Hotel La Ville,CgoIoPK50tHkv7haEAE
Morgana Hotel,CgoIgfCuiOLp9-1PEAE
Appia Park Hotel,CgoIkpzKrq3btK8mEAE
Orange Hotel,CgoIn6nlxebTg6VdEAE
Hotel Mondial,CgsI36fzh8TX8ti1ARAB
The Republic Hotel,CgsIq4O0tY-NtKP3ARAB
DoubleTree by Hilton Rome Monti,CgsI-fWntdn1xN2KARAB
Crowne Plaza Rome - St. Peter's,CgoI2pHwwsKssrZYEAE
Dharma Hotel & Luxury Suites,CgoI347X0PaGwIBxEAE
Hotel St. Martin,CgoIs5SkseXGvvATEAE
Hotel Ponte Sisto,CgsI9uqrzpbigrPzARAB
Hotel Capo d'Africa - Colosseo,CgoIqLParYL_lNtUEAE
NH Collection Roma Vittorio Veneto,CgoI3KjEwqSUlY13EAE
BW Blu Hotel Roma,CgoI1bql5dygg9pCEAE
Generator Rome,CgsIkZXx9rKVqLj_ARAB
Apollo Boutique Hotel,CgoI37TotOfpkZ9VEAE
Grand Hotel Fleming,CgoI7uKFsvLJneEGEAE
Navona Living Rome,CgsI5pG2k7qC-_eEARAB
Quality Hotel Nova Domus,CgoI_fm0iuqSp7oWEAE
Hotel Artemide,CgoIiuSl0rK53e0uEAE
Mercure Roma Centro Colosseo,CgoIhYnGgub_z8dQEAE
Hotel Nazionale Roma,CgsIyKKms9vq_e-VARAB
Hotel Latinum,CgoI0frnwIvQmZF0EAE
Hotel Metropolis – Hotel di Charme,CgoIuYTnttH6o_BwEAE
Dharma Boutique Hotel & SPA,CgsI5_DrzNzs9cG_ARAB
Hotel Santa Costanza,CgsIwaSR17Lb4MH3ARAB
Papillo Hotel Roma,CgoI8PPmj7ih2MBLEAE
Hotel Bright Srl,CgoI2eXS1eDopOA7EAE
Palazzo Nainer,CgsI3cKiyu7G3469ARAB
Hotel degli Aranci,CgsIjYmwvOmw5r2EARAB
Luxury On The River,CgoIqu_n7sT9wo5oEAE
The Bailey's Hotel,CgsItZLFhsXMoua4ARAB
Hotel Fiume,CgsI04Wj_ojBtNGpARAB
Hotel Valadier,CgoI2O2Guambx-sQEAE
Domus Australia,CgsI047n1fXUqfaWARAB
Albergo Ottocento,CgsIh4CngL_b1NqsARAB
Dimora Degli Dei,CgsIg4yPn6W64fa1ARAB
Best Western Plus Hotel Universo,CgsInfqNnNvJhb_UARAB
Hotel Milton Roma,CgoI5Irp2pW5toksEAE
Hotel Principe Torlonia,CgoI-f6U19GqjvMjEAE
Mama Shelter Roma,CgoI896nhLjwwqcuEAE
BELSTAY ROMA AURELIA,CgsI1MS24ra2xsXnARAB
Al Manthia Hotel,CgsIn7zNqdCGmaLoARAB
Berg Luxury Hotel Rome,CgoIgrqqsIb5pewKEAE
Monti Palace Hotel,CgsI6tictrTN4cf8ARAB
Hotel Diocleziano,CgsI-4zQ2YfX4p_gARAB
Hotel Imperatori,CgoI1_vJgaihjukPEAE
Hotel Mascagni,CgoI3sCb0KLz__0iEAE
Mecenate Palace Hotel,CgsIr4egq8Pp85H0ARAB
Green Park Hotel Pamphili,CgoI0Y3Sy6zerYpeEAE
Hotel Antico Palazzo Rospigliosi,CgoIj_DA0PndtPYvEAE
River Palace Hotel,CgoItbiE_4Lfs4JqEAE
UNAHOTELS Decò Roma,CgoI1P7Bj7bmmqY0EAE
PINEWOOD HOTEL ROME,CgoIiOaekNTwweUoEAE
Fortyseven Hotel,CgoIzd7o8Mn1zrpGEAE
Hotel Ripa,CgoIs-f8uvK4ydtEEAE
The Church Palace,CgoI2p_Uubn49sclEAE
Parco Tirreno,CgsI67yYio2JtezBARAB
Bettoja Hotel Mediterraneo,CgoInpb7y9vwypN6EAE
Holiday Inn Rome - Eur Parco Dei Medici,CgoI8ZTfwoaF1800EAE
Augusta Lucilla Palace,CgsI8pqTpdWlteHIARAB
The Guardian Hotel,CgoIwMC5y-LDjfMyEAE
Hotel Veneto Palace,CgsIs4yapZTE7JukARAB
Black Hotel Rome,CgsI1p_3mZf6yYXQARAB
Grand Hotel Tiberio,CgoIjY7kzMGz0YYcEAE
Bettoja Hotel Massimo d'Azeglio,CgsIw5aGse31tIDUARAB
H10 Roma Città,CgsIjJzEjfT5ruq8ARAB
HT6 Hotel Rome,CgsIotCHxdST97DfARAB
Palazzo Scanderbeg,CgsI3f6mgLaEsq-3ARAB
Hotel Villafranca Rome,CgsIhLSv25TUxZbLARAB
Grand Hotel Olympic - Aurum Hotels,CgoI1NOh5N6UlbZjEAE
Starhotels Michelangelo,CgsI28Tv1_mK1sb0ARAB
The Tribune Hotel,CgsI_oKgvvj996n1ARAB
Rome Glam Hotel,CgsIpvGW9LX5iv3KARAB
Best Western Hotel Piccadilly Roma,CgsI7M3Uje-12MCgARAB
Hotel Luce,CgsI2-mus7b8wKDqARAB
Hotel Dei Borgognoni,CgsI-MG29pmclvytARAB
Royal Bissolati,CgoIhZL4hvGyvMJ5EAE
Starhotels Metropole,CgsI4M2a67Gqp6zwARAB
Fenix Hotel,CgsIxIP3ocqmw-zbARAB
Villa Monte Mario,CgoI05Or59CIyfhGEAE
Albani Hotel Roma,CgoI3_mf-p7eqO4mEAE
iQ Hotel Roma,CgsI8YvLpe7ZjufEARAB
Piazza del Gesù Luxury Suites,CgoIh4fX0Oyw_uZ3EAE
Hotel Barocco,CgsI_vPiqMfZ_-TPARAB
Argentina Style Hotel,CgoIv6WY67eP4oUzEAE
