entity,aspect_term,aspect_review_count,positive_review_count,negative_review_count
CgoI38SKsa2ovOpUEAE,Breakfast,Mentioned in 66 Google reviews,71% positive,18% unfavorable
CgoI38SKsa2ovOpUEAE,Fitness,Mentioned in 26 Google reviews,50% positive,42% unfavorable
CgoI38SKsa2ovOpUEAE,Business,Mentioned in 12 Google reviews,67% positive,8% unfavorable
CgoI38SKsa2ovOpUEAE,Pool,Mentioned in 14 Google reviews,79% positive,14% unfavorable
CgoI38SKsa2ovOpUEAE,Property,Mentioned in 154 Google reviews,71% positive,21% unfavorable
CgoI38SKsa2ovOpUEAE,Service,Mentioned in 117 Google reviews,78% positive,16% unfavorable
CgoI38SKsa2ovOpUEAE,Restaurant,Mentioned in 29 Google reviews,83% positive,10% unfavorable
CgoI38SKsa2ovOpUEAE,Parking,Mentioned in 12 Google reviews,50% positive,25% unfavorable
CgoI38SKsa2ovOpUEAE,Atmosphere,Mentioned in 46 Google reviews,87% positive,9% unfavorable
CgoI38SKsa2ovOpUEAE,Bathroom,Mentioned in 42 Google reviews,24% positive,71% unfavorable
CgoI38SKsa2ovOpUEAE,Sleep,Mentioned in 50 Google reviews,42% positive,44% unfavorable
CgoI38SKsa2ovOpUEAE,Cleanliness,Mentioned in 70 Google reviews,57% positive,30% unfavorable
CgoI38SKsa2ovOpUEAE,Amenities,Mentioned in 38 Google reviews,42% positive,47% unfavorable
CgoI38SKsa2ovOpUEAE,Transit,Mentioned in 21 Google reviews,71% positive,10% unfavorable
CgoI38SKsa2ovOpUEAE,Location,Mentioned in 67 Google reviews,73% positive,13% unfavorable
CgoI38SKsa2ovOpUEAE,Entertainment,Mentioned in 7 Google reviews,0% positive,71% unfavorable
CgoI38SKsa2ovOpUEAE,Safety,Mentioned in 11 Google reviews,100% positive,0% unfavorable
CgoI38SKsa2ovOpUEAE,Bar,Mentioned in 14 Google reviews,57% positive,43% unfavorable
CgoI38SKsa2ovOpUEAE,Food,Mentioned in 12 Google reviews,50% positive,50% unfavorable
CgoI38SKsa2ovOpUEAE,Air conditioning,Mentioned in 8 Google reviews,12% positive,75% unfavorable
CgoI38SKsa2ovOpUEAE,Accessibility,Mentioned in 6 Google reviews,50% positive,50% unfavorable
CgoI38SKsa2ovOpUEAE,Wi-fi,Mentioned in 5 Google reviews,20% positive,40% unfavorable
CgoI7vzhpMe-mZA7EAE,Nature,Mentioned in 16 Google reviews,88% positive,0% unfavorable
CgoI7vzhpMe-mZA7EAE,Property,Mentioned in 42 Google reviews,83% positive,10% unfavorable
CgoI7vzhpMe-mZA7EAE,Atmosphere,Mentioned in 13 Google reviews,85% positive,8% unfavorable
CgoI7vzhpMe-mZA7EAE,Location,Mentioned in 17 Google reviews,76% positive,6% unfavorable
CgoI7vzhpMe-mZA7EAE,Breakfast,Mentioned in 16 Google reviews,88% positive,12% unfavorable
CgoI7vzhpMe-mZA7EAE,Pool,Mentioned in 14 Google reviews,86% positive,14% unfavorable
CgoI7vzhpMe-mZA7EAE,Cleanliness,Mentioned in 18 Google reviews,78% positive,11% unfavorable
CgoI7vzhpMe-mZA7EAE,Wellness,Mentioned in 10 Google reviews,70% positive,30% unfavorable
CgoI7vzhpMe-mZA7EAE,Food,Mentioned in 13 Google reviews,69% positive,23% unfavorable
CgoI7vzhpMe-mZA7EAE,Service,Mentioned in 29 Google reviews,72% positive,14% unfavorable
CgoI7vzhpMe-mZA7EAE,Fitness,Mentioned in 22 Google reviews,59% positive,23% unfavorable
CgoI7vzhpMe-mZA7EAE,Bathroom,Mentioned in 16 Google reviews,38% positive,44% unfavorable
CgoI7vzhpMe-mZA7EAE,Sleep,Mentioned in 11 Google reviews,45% positive,45% unfavorable
CgoI7vzhpMe-mZA7EAE,Amenities,Mentioned in 17 Google reviews,53% positive,18% unfavorable
CgoI7vzhpMe-mZA7EAE,Nightlife,Mentioned in 5 Google reviews,40% positive,60% unfavorable
CgoI7vzhpMe-mZA7EAE,Bar,Mentioned in 8 Google reviews,50% positive,38% unfavorable
CgoI7vzhpMe-mZA7EAE,Restaurant,Mentioned in 7 Google reviews,86% positive,14% unfavorable
CgoI7vzhpMe-mZA7EAE,Spa,Mentioned in 6 Google reviews,83% positive,17% unfavorable
