entity,feature_type,feature_title,feature
CgoI0eKGsMmkssYqEAE,health_and_safety,Enhanced cleaning,Commercial-grade disinfectant used to clean the property
CgoI0eKGsMmkssYqEAE,health_and_safety,Enhanced cleaning,Enhanced cleaning of common areas
CgoI0eKGsMmkssYqEAE,health_and_safety,Physical distancing,Physical distancing required
CgoI0eKGsMmkssYqEAE,health_and_safety,Physical distancing,Common areas arranged to maintain physical distancing
CgoI0eKGsMmkssYqEAE,amenities,Popular amenities,Pool
CgoI0eKGsMmkssYqEAE,amenities,Popular amenities,Wi-Fifree
CgoI0eKGsMmkssYqEAE,amenities,Popular amenities,Air conditioning
CgoI0eKGsMmkssYqEAE,amenities,Popular amenities,Breakfast
CgoI0eKGsMmkssYqEAE,amenities,Internet,Wi-Fifree
CgoI0eKGsMmkssYqEAE,amenities,Policies & payments,Smoke-free property
CgoI0eKGsMmkssYqEAE,amenities,Policies & payments,Credit cards
CgoI0eKGsMmkssYqEAE,amenities,Children,Kid-friendly
CgoI0eKGsMmkssYqEAE,amenities,Children,Babysitting
CgoI0eKGsMmkssYqEAE,amenities,Pools,Indoor pool
CgoI0eKGsMmkssYqEAE,amenities,Wellness,Fitness center
CgoI0eKGsMmkssYqEAE,amenities,Wellness,Sauna
CgoI0eKGsMmkssYqEAE,amenities,Pets,Pet-friendly
CgoI0eKGsMmkssYqEAE,amenities,Food & drink,Restaurant
CgoI0eKGsMmkssYqEAE,amenities,Food & drink,Bar
CgoI0eKGsMmkssYqEAE,amenities,Food & drink,Breakfast
CgoI0eKGsMmkssYqEAE,amenities,Services,Front desk24 hour
CgoI0eKGsMmkssYqEAE,amenities,Services,Full-service laundry
CgoI0eKGsMmkssYqEAE,amenities,Services,Self-service laundry
CgoI0eKGsMmkssYqEAE,amenities,Services,Elevator
CgoI0eKGsMmkssYqEAE,amenities,Parking & transportation,Parking
CgoI0eKGsMmkssYqEAE,amenities,Parking & transportation,Airport shuttlefree
CgoI0eKGsMmkssYqEAE,amenities,Parking & transportation,Car rental onsite
CgoI0eKGsMmkssYqEAE,amenities,Accessibility,Accessible
CgoI0eKGsMmkssYqEAE,amenities,Rooms,Air conditioning
CgoI0eKGsMmkssYqEAE,amenities,Rooms,Minibar
CgoI38SKsa2ovOpUEAE,health_and_safety,Enhanced cleaning,Commercial-grade disinfectant used to clean the property
CgoI38SKsa2ovOpUEAE,health_and_safety,Enhanced cleaning,"Employees wear masks, face shields, and/or gloves"
CgoI38SKsa2ovOpUEAE,health_and_safety,Enhanced cleaning,Enhanced cleaning of common areas
CgoI38SKsa2ovOpUEAE,health_and_safety,Personal protection,Masks required on the property
CgoI38SKsa2ovOpUEAE,health_and_safety,Physical distancing,Physical distancing required
CgoI38SKsa2ovOpUEAE,health_and_safety,Physical distancing,Common areas arranged to maintain physical distancing
CgoI38SKsa2ovOpUEAE,health_and_safety,Physical distancing,Safety dividers at front desk and other locations
CgoI38SKsa2ovOpUEAE,health_and_safety,Minimized contact,No-contact check-in and check-out
CgoI38SKsa2ovOpUEAE,amenities,Popular amenities,Pool
CgoI38SKsa2ovOpUEAE,amenities,Popular amenities,Wi-Fifree
CgoI38SKsa2ovOpUEAE,amenities,Popular amenities,Air conditioning
CgoI38SKsa2ovOpUEAE,amenities,Popular amenities,Breakfastextra charge
CgoI38SKsa2ovOpUEAE,amenities,Internet,Wi-Fifree
CgoI38SKsa2ovOpUEAE,amenities,Internet,Wi-Fi in public areas
CgoI38SKsa2ovOpUEAE,amenities,Policies & payments,Credit cards
CgoI38SKsa2ovOpUEAE,amenities,Policies & payments,Cash
CgoI38SKsa2ovOpUEAE,amenities,Children,Kid-friendly
CgoI38SKsa2ovOpUEAE,amenities,Pools,Outdoor pool
CgoI38SKsa2ovOpUEAE,amenities,Accessibility,Accessible
CgoI38SKsa2ovOpUEAE,amenities,Rooms,Air conditioning
CgoI38SKsa2ovOpUEAE,amenities,Food & drink,Room service
CgoI38SKsa2ovOpUEAE,amenities,Food & drink,Breakfastextra charge
CgoI38SKsa2ovOpUEAE,amenities,Food & drink,Breakfast buffet
CgoI38SKsa2ovOpUEAE,amenities,Services,Front desk24 hour
CgoI38SKsa2ovOpUEAE,amenities,Services,Baggage storage
CgoI38SKsa2ovOpUEAE,amenities,Services,Concierge
CgoI38SKsa2ovOpUEAE,amenities,Services,Full-service laundry
CgoI38SKsa2ovOpUEAE,amenities,Services,Elevator
CgoI38SKsa2ovOpUEAE,amenities,Services,Wake up calls
CgoI38SKsa2ovOpUEAE,amenities,Parking & transportation,Parking
CgoI38SKsa2ovOpUEAE,amenities,Pets,No pets
CgoI38SKsa2ovOpUEAE,amenities,Bathrooms,Private bathroom
CgoI38SKsa2ovOpUEAE,amenities,Bathrooms,Bathtub in some rooms
CgoI38SKsa2ovOpUEAE,amenities,Bathrooms,Shower in some rooms
CgoI38SKsa2ovOpUEAE,sustainability,Energy efficiency,Energy conservation program
CgoI38SKsa2ovOpUEAE,sustainability,Energy efficiency,Energy use audited by an independent organization
CgoI38SKsa2ovOpUEAE,sustainability,Energy efficiency,Energy-efficient heating and cooling systems
CgoI38SKsa2ovOpUEAE,sustainability,Energy efficiency,Energy-efficient lighting
CgoI38SKsa2ovOpUEAE,sustainability,Energy efficiency,Energy-saving thermostats
CgoI38SKsa2ovOpUEAE,sustainability,Waste reduction,Recycling program
CgoI38SKsa2ovOpUEAE,sustainability,Waste reduction,Food waste reduction program
CgoI38SKsa2ovOpUEAE,sustainability,Waste reduction,Composts excess food
CgoI38SKsa2ovOpUEAE,sustainability,Waste reduction,Safely handles hazardous substances
CgoI38SKsa2ovOpUEAE,sustainability,Waste reduction,"Safely disposes of electronics, batteries, and lightbulbs"
CgoI38SKsa2ovOpUEAE,sustainability,Waste reduction,Refillable toiletry containers
CgoI38SKsa2ovOpUEAE,sustainability,Waste reduction,Water bottle filling stations
CgoI38SKsa2ovOpUEAE,sustainability,Waste reduction,Compostable food containers and cutlery
CgoI38SKsa2ovOpUEAE,sustainability,Waste reduction,No Styrofoam food containers
CgoI38SKsa2ovOpUEAE,sustainability,Waste reduction,No single-use plastic water bottles or straws
CgoI38SKsa2ovOpUEAE,sustainability,Water conservation,"Water-efficient faucets, toilets, and showers"
CgoI38SKsa2ovOpUEAE,sustainability,Water conservation,Towel and linen reuse program
CgoI38SKsa2ovOpUEAE,sustainability,Sustainable sourcing,Responsible purchasing policy
CgoI38SKsa2ovOpUEAE,sustainability,Sustainable sourcing,Organic food and beverages
CgoI38SKsa2ovOpUEAE,sustainability,Sustainable sourcing,Locally sourced food and beverages
CgoI38SKsa2ovOpUEAE,sustainability,Sustainable sourcing,Responsibly sourced seafood
CgoI38SKsa2ovOpUEAE,sustainability,Sustainable sourcing,Organic cage-free eggs
CgoI38SKsa2ovOpUEAE,sustainability,Sustainable sourcing,Vegetarian and vegan meals
CgoI38SKsa2ovOpUEAE,sustainability,Sustainable sourcing,Eco-friendly toiletries
CgoIl63G7O7f-74LEAE,health_and_safety,Enhanced cleaning,Commercial-grade disinfectant used to clean the property
CgoIl63G7O7f-74LEAE,health_and_safety,Enhanced cleaning,"Employees wear masks, face shields, and/or gloves"
CgoIl63G7O7f-74LEAE,health_and_safety,Enhanced cleaning,Enhanced cleaning of common areas
CgoIl63G7O7f-74LEAE,health_and_safety,Physical distancing,Physical distancing required
CgoIl63G7O7f-74LEAE,health_and_safety,Physical distancing,Common areas arranged to maintain physical distancing
CgoIl63G7O7f-74LEAE,health_and_safety,Physical distancing,Safety dividers at front desk and other locations
CgoIl63G7O7f-74LEAE,health_and_safety,Minimized contact,No-contact check-in and check-out
CgoIl63G7O7f-74LEAE,health_and_safety,Increased food safety,Individually-packaged meals
CgoIl63G7O7f-74LEAE,amenities,Popular amenities,Pool
CgoIl63G7O7f-74LEAE,amenities,Popular amenities,Spa
CgoIl63G7O7f-74LEAE,amenities,Popular amenities,Hot tub
CgoIl63G7O7f-74LEAE,amenities,Popular amenities,Wi-Fifree
CgoIl63G7O7f-74LEAE,amenities,Internet,Wi-Fifree
CgoIl63G7O7f-74LEAE,amenities,Policies & payments,Smoke-free property
CgoIl63G7O7f-74LEAE,amenities,Activities,Bicycle rentalextra charge
CgoIl63G7O7f-74LEAE,amenities,Children,Kid-friendly
CgoIl63G7O7f-74LEAE,amenities,Pools,Outdoor pool
CgoIl63G7O7f-74LEAE,amenities,Pools,Hot tub
CgoIl63G7O7f-74LEAE,amenities,Wellness,Fitness center
CgoIl63G7O7f-74LEAE,amenities,Wellness,Sauna
CgoIl63G7O7f-74LEAE,amenities,Wellness,Spa
CgoIl63G7O7f-74LEAE,amenities,Pets,No pets
CgoIl63G7O7f-74LEAE,amenities,Rooms,Air conditioning
CgoIl63G7O7f-74LEAE,amenities,Rooms,Minibar
CgoIl63G7O7f-74LEAE,amenities,Food & drink,Restaurant
CgoIl63G7O7f-74LEAE,amenities,Food & drink,Room service
CgoIl63G7O7f-74LEAE,amenities,Food & drink,Breakfast
CgoIl63G7O7f-74LEAE,amenities,Food & drink,Vending machines
CgoIl63G7O7f-74LEAE,amenities,Services,Front desk24 hour
CgoIl63G7O7f-74LEAE,amenities,Services,Baggage storage
CgoIl63G7O7f-74LEAE,amenities,Services,Concierge
CgoIl63G7O7f-74LEAE,amenities,Services,Full-service laundry
CgoIl63G7O7f-74LEAE,amenities,Services,Elevator
CgoIl63G7O7f-74LEAE,amenities,Parking & transportation,Parking
CgoIl63G7O7f-74LEAE,amenities,Parking & transportation,Transfer
CgoIl63G7O7f-74LEAE,amenities,Accessibility,Accessible
CgoIl63G7O7f-74LEAE,amenities,Business & events,Business center
CgoIl63G7O7f-74LEAE,amenities,Business & events,Meeting rooms
CgoIl63G7O7f-74LEAE,amenities,Bathrooms,Private bathroom
CgoIl63G7O7f-74LEAE,amenities,Bathrooms,Bathtub in some rooms
CgoIl63G7O7f-74LEAE,amenities,Bathrooms,Shower in some rooms
CgoIl63G7O7f-74LEAE,sustainability,Eco certifications,ISO 14001
CgoIl63G7O7f-74LEAE,sustainability,Water conservation,Water use audited by an independent organization
CgoIl63G7O7f-74LEAE,sustainability,Water conservation,Water-efficient faucets
CgoIl63G7O7f-74LEAE,sustainability,Water conservation,Towel and linen reuse program
CgoIl63G7O7f-74LEAE,sustainability,Sustainable sourcing,Responsible purchasing policy
CgoIl63G7O7f-74LEAE,sustainability,Sustainable sourcing,Organic food and beverages
CgoIl63G7O7f-74LEAE,sustainability,Sustainable sourcing,Locally sourced food and beverages
CgoIl63G7O7f-74LEAE,sustainability,Sustainable sourcing,Vegetarian and vegan meals
CgoIl63G7O7f-74LEAE,sustainability,Energy efficiency,Energy conservation program
CgoIl63G7O7f-74LEAE,sustainability,Energy efficiency,Energy use audited by an independent organization
CgoIl63G7O7f-74LEAE,sustainability,Energy efficiency,Energy-efficient lighting
CgoIl63G7O7f-74LEAE,sustainability,Energy efficiency,Energy-saving thermostats
CgoIl63G7O7f-74LEAE,sustainability,Waste reduction,Recycling program
CgoIl63G7O7f-74LEAE,sustainability,Waste reduction,Food waste reduction program
