entity,about,checkinout_time,contact
CgoI0eKGsMmkssYqEAE,,,"Carrer K Zona Franca, 08040 Barcelona, Spain+34 933 36 25 64"
CgoI38SKsa2ovOpUEAE,,,"Carrer d'Anglí, 60, 08017 Barcelona, Spain+34 932 06 99 44"
CgoI7vzhpMe-mZA7EAE,,,"Avinguda d'Eduard Maristany, 227, 08912 Badalona, Barcelona, Spain+34 830 83 10 83"
CgoIl63G7O7f-74LEAE,,,"Avinguda Diagonal, 1, 08019 Barcelona, Spain+34 933 56 10 00"
CgoIq7Cd_aqvj8sgEAE,,,"C/ de la Diputació, 234, 08007 Barcelona, Spain+34 936 77 27 73"
CgoIs52S8eisvbQ3EAE,,,"Pl. d'Europa, 50-52, 08902 L'Hospitalet de Llobregat, Barcelona, Spain+34 932 61 80 00"
CgoIwd7E5KTjyKEHEAE,,,"Carrer de la TV3, 2, Hb004100, 08970 Sant Joan Despí, Barcelona, Spain+34 934 75 58 00"
CgoIyuzX_rWUq4B5EAE,,,"Av. Navarra, 6, 08911 Badalona, Barcelona, Spain+34 931 84 79 00"
CgsI0ZuI8IaE4b-uARAB,,,"Plaça del Duc de Medinaceli, 8, 08002 Barcelona, Spain+34 934 81 77 25"
CgsI5fW-hdLRgdWoARAB,,,"Passeig de Colom, 12, 08002 Barcelona, Spain+34 932 68 90 90"
CgsI7semh7nNrZKlARAB,,,"Avinguda Diagonal, 589, 591, 08014 Barcelona, Spain+34 934 95 77 77"
CgsI9Nyq-d2QwuKjARAB,,,"C/ de Còrsega, 344, 352, 08037 Barcelona, Spain+34 930 12 12 70"
CgsIhtept_n5lsSxARAB,,,"Carrer del Cardenal Reig, 11, 08028 Barcelona, Spain+34 931 15 03 01"
CgsIlfeR45ngz6HSARAB,,,"Carrer de Guillem Tell, 49, 08006 Barcelona, Spain+34 934 15 40 00"
CgsIxuzD9LXeh-imARAB,,,"Carrer de Sant Pau, 9-11, 08001 Barcelona, Spain+34 935 50 00 00"
