entity,recommendation_entity,recommendation_name
CgoI0eKGsMmkssYqEAE,ChoIz9rq98-b3c6jARoNL2cvMTFiN2hxdzJxORAB,Eurohotel Gran Via Fira
CgoI0eKGsMmkssYqEAE,ChgIgIuk65jOkchlGgwvZy8xMV90aHBtcnEQAQ,Hotel SB Plaça Europa
CgoI0eKGsMmkssYqEAE,ChgIr-ei79ny-trPARoLL2cvMXRkcmJqYjgQAQ,Travelodge Barcelona Fira
CgoI0eKGsMmkssYqEAE,ChkIk5rawpy7qr51Gg0vZy8xMWcwd2d3dG05EAE,easyHotel Barcelona Fira
CgoI0eKGsMmkssYqEAE,ChgIlMbOlIO368MHGgwvZy8xMm05MnB6ZDAQAQ,Barcelona Airport Hotel
CgoI38SKsa2ovOpUEAE,ChgI3ZTYm_7vveqGARoLL2cvMXRkXzd0czcQAQ,Hotel Catalonia Park Güell
CgoI38SKsa2ovOpUEAE,ChgIifbk6N_ShPQIGgwvZy8xcHR3emtrbjkQAQ,Hostalin Barcelona Passeig de Gràcia
CgoI38SKsa2ovOpUEAE,ChgI5bOrjpDWzvXrARoLL2cvMXZ4cTh3ZHIQAQ,Hotel Silken Sant Gervasi
CgoI38SKsa2ovOpUEAE,ChcIkO_7iarNgrMRGgsvZy8xdGN3emM4NxAB,Aparthotel Mariano Cubí Barcelona
CgoI38SKsa2ovOpUEAE,ChgI1sTCurGJtHIaDS9nLzExY3M0aDF6OWIQAQ,Hotel Catalonia Barcelona 505
CgoI38SKsa2ovOpUEAE,ChcIsMvh7PrFhIcBGgsvZy8xdGRrdHYwZBAB,Barcelona Century Hotel
CgoI7vzhpMe-mZA7EAE,ChoIl5-3vM_p0bPzARoNL2cvMTFnZ3Mycjd2MxAB,Hotelito Boutique Badalona Mar
CgoI7vzhpMe-mZA7EAE,ChgI3syr_fTjgM2-ARoLL2cvMXR6N3FubTAQAQ,Hotel Miramar Badalona
CgoI7vzhpMe-mZA7EAE,ChkIwoeW59uumvpKGg0vZy8xMXJfZzN0ajUwEAE,"Casa Flores del Mediterráneo,"
CgoI7vzhpMe-mZA7EAE,ChoInYWt9L2CxtDZARoNL2cvMTF0NV9kdjJfZxAB,Barcelona Corona Hostal
CgoI7vzhpMe-mZA7EAE,ChcIyuzX_rWUq4B5GgsvZy8xdHB4MXg5YxAB,Rafaelhoteles Badalona
CgoI7vzhpMe-mZA7EAE,ChkIg4Lbvvq9iJiRARoML2cvMXl3MF93NmNuEAE,Hotel SB Diagonal Zero Barcelona
CgoIl63G7O7f-74LEAE,ChcI7_yTpIbrv-7TARoKL20vMGhncHF4cRAB,Hilton Diagonal Mar Barcelona
CgoIl63G7O7f-74LEAE,ChkIu_rz5LOv06-TARoML2cvMTE5d2NrYnNuEAE,Hotel Vincci Bit
CgoIl63G7O7f-74LEAE,ChgItvqT1e-3jd3rARoLL2cvMXRmaHczdjQQAQ,Hotel Vincci Marítimo
CgoIl63G7O7f-74LEAE,ChkIg4Lbvvq9iJiRARoML2cvMXl3MF93NmNuEAE,Hotel SB Diagonal Zero Barcelona
CgoIl63G7O7f-74LEAE,ChoI7o-xsb3izM6CARoNL2cvMTFnNnR2aHZtbRAB,Hotel SB Glow
CgoIl63G7O7f-74LEAE,ChcIjOyc57KpjbkmGgsvZy8xdGwxZjBtNBAB,ILUNION Barcelona
CgoIq7Cd_aqvj8sgEAE,ChgIifbk6N_ShPQIGgwvZy8xcHR3emtrbjkQAQ,Hostalin Barcelona Passeig de Gràcia
CgoIq7Cd_aqvj8sgEAE,ChcI-cvLspPDi946GgsvZy8xeHRkenF4OBAB,Hotel Colonial Barcelona
CgoIq7Cd_aqvj8sgEAE,ChoIhfqH76is3uuKARoNL2cvMTFjbV9neHl6bhAB,Hotel May Ramblas
CgoIq7Cd_aqvj8sgEAE,ChcIsMvh7PrFhIcBGgsvZy8xdGRrdHYwZBAB,Barcelona Century Hotel
CgoIq7Cd_aqvj8sgEAE,ChcIiI_l6vaCwc8fGgsvZy8xdGRzbWR6dxAB,Hotel Barcelona Center
CgoIq7Cd_aqvj8sgEAE,ChgI9aWv5ZL2p7QUGgwvZy8xaGMzdzB4MjgQAQ,Hotel Viladomat
CgoIs52S8eisvbQ3EAE,ChgIzYjPkf2UievUARoLL2cvMXRmOHE3anAQAQ,Alexandre Hotel Fira Congress
CgoIs52S8eisvbQ3EAE,ChgIgIuk65jOkchlGgwvZy8xMV90aHBtcnEQAQ,Hotel SB Plaça Europa
CgoIs52S8eisvbQ3EAE,ChcI1bjYr9XTgIlMGgsvZy8xdGZuNXBjYxAB,Hotel Catalonia Barcelona Plaza
CgoIs52S8eisvbQ3EAE,ChYIqLOIpMH8n-xeGgovbS8wN2s0NDhzEAE,Hyatt Regency Barcelona Tower
CgoIs52S8eisvbQ3EAE,ChkI8ZSTpbHwie-RARoML2cvMXE2MmtiajhtEAE,Hotel Miramar Barcelona
CgoIs52S8eisvbQ3EAE,ChkIhtept_n5lsSxARoML2cvMWhjMjIzeGt6EAE,Hotel ILUNION Les Corts Spa (Barcelona)
CgoIwd7E5KTjyKEHEAE,ChgIq7-u0MOrkcqLARoLL2cvMXRrZndxcWMQAQ,Hostal Lami
CgoIwd7E5KTjyKEHEAE,ChcI9-iw9KniyOZRGgsvZy8xdGh6eHIwdhAB,Hotel HLG CityPark Sant Just
CgoIwd7E5KTjyKEHEAE,ChgI9Pu4woWr3df8ARoLL2cvMXRkbHJmYmMQAQ,Hotel Esplugues
CgoIwd7E5KTjyKEHEAE,ChcI_dn6y76CnNlRGgsvZy8xdHNneXdnNhAB,Sercotel Porta Barcelona
CgoIwd7E5KTjyKEHEAE,ChkIyb3d6Ym7hq6mARoML2cvMWhjM3JxMjJnEAE,Novotel Barcelona Cornella
CgoIwd7E5KTjyKEHEAE,ChkIhtept_n5lsSxARoML2cvMWhjMjIzeGt6EAE,Hotel ILUNION Les Corts Spa (Barcelona)
CgoIyuzX_rWUq4B5EAE,ChoIl5-3vM_p0bPzARoNL2cvMTFnZ3Mycjd2MxAB,Hotelito Boutique Badalona Mar
CgoIyuzX_rWUq4B5EAE,ChgI3syr_fTjgM2-ARoLL2cvMXR6N3FubTAQAQ,Hotel Miramar Badalona
CgoIyuzX_rWUq4B5EAE,ChcIvqqfg__ivJNxGgsvZy8xdGt4cGMycxAB,Hostal Badaloní
CgoIyuzX_rWUq4B5EAE,ChgI3dmy3fKE36gzGgwvZy8xcHYwZHZnX2wQAQ,ibis Barcelona Santa Coloma
CgoIyuzX_rWUq4B5EAE,ChkIi97hiZrmh9pUGg0vZy8xMWNuNXJkZ3NsEAE,Hotel Arrey Alella
CgoIyuzX_rWUq4B5EAE,ChgIlpqgiZON-bKmARoLL2cvMXRkM2M1ZDYQAQ,Hotel Amrey Sant Pau
CgsI0ZuI8IaE4b-uARAB,ChcI-cvLspPDi946GgsvZy8xeHRkenF4OBAB,Hotel Colonial Barcelona
CgsI0ZuI8IaE4b-uARAB,ChoIhfqH76is3uuKARoNL2cvMTFjbV9neHl6bhAB,Hotel May Ramblas
CgsI0ZuI8IaE4b-uARAB,ChgIifbk6N_ShPQIGgwvZy8xcHR3emtrbjkQAQ,Hostalin Barcelona Passeig de Gràcia
CgsI0ZuI8IaE4b-uARAB,ChgInZ_njJKL6v3UARoLL2cvMXRreHBiX18QAQ,Leonardo Hotel Barcelona Les Rambles
CgsI0ZuI8IaE4b-uARAB,ChcIsMvh7PrFhIcBGgsvZy8xdGRrdHYwZBAB,Barcelona Century Hotel
CgsI0ZuI8IaE4b-uARAB,ChgI9aWv5ZL2p7QUGgwvZy8xaGMzdzB4MjgQAQ,Hotel Viladomat
CgsI5fW-hdLRgdWoARAB,ChcI-cvLspPDi946GgsvZy8xeHRkenF4OBAB,Hotel Colonial Barcelona
CgsI5fW-hdLRgdWoARAB,ChcI1bjYr9XTgIlMGgsvZy8xdGZuNXBjYxAB,Hotel Catalonia Barcelona Plaza
CgsI5fW-hdLRgdWoARAB,ChkI1tD3kpfCs9dyGg0vZy8xMWJ3bjd2dzRfEAE,H10 Cubik
CgsI5fW-hdLRgdWoARAB,ChgIxuzD9LXeh-imARoLL2cvMTIyNjk4NXcQAQ,Hotel España
CgsI7semh7nNrZKlARAB,ChcI1bjYr9XTgIlMGgsvZy8xdGZuNXBjYxAB,Hotel Catalonia Barcelona Plaza
CgsI7semh7nNrZKlARAB,ChcI-cvLspPDi946GgsvZy8xeHRkenF4OBAB,Hotel Colonial Barcelona
CgsI7semh7nNrZKlARAB,ChcIiI_l6vaCwc8fGgsvZy8xdGRzbWR6dxAB,Hotel Barcelona Center
CgsI7semh7nNrZKlARAB,ChgIsqKP75_f3P3nARoLL2cvMXR0eGR5X3IQAQ,"Alexandra Barcelona Hotel, Curio Collection by Hilton"
CgsI7semh7nNrZKlARAB,ChgIifbk6N_ShPQIGgwvZy8xcHR3emtrbjkQAQ,Hostalin Barcelona Passeig de Gràcia
CgsI7semh7nNrZKlARAB,ChgIlfeR45ngz6HSARoLL2cvMXRrMXZ4YmoQAQ,Pol & Grace Hotel
CgsI9Nyq-d2QwuKjARAB,ChkIi7DcwOXxq5YfGg0vZy8xMWR5bnFiZnZnEAE,Yurbban Passage Hotel & Spa
CgsI9Nyq-d2QwuKjARAB,ChcI-cvLspPDi946GgsvZy8xeHRkenF4OBAB,Hotel Colonial Barcelona
CgsI9Nyq-d2QwuKjARAB,ChcIiI_l6vaCwc8fGgsvZy8xdGRzbWR6dxAB,Hotel Barcelona Center
CgsI9Nyq-d2QwuKjARAB,ChgInLqt4-Hc6vKOARoLL2cvMXRndHQ5MXEQAQ,Hotel Claris
CgsI9Nyq-d2QwuKjARAB,ChkI8ZSTpbHwie-RARoML2cvMXE2MmtiajhtEAE,Hotel Miramar Barcelona
CgsI9Nyq-d2QwuKjARAB,ChgInb-W8vGlzs-3ARoLL2cvMTIwempwbmMQAQ,Hotel 1898
CgsIhtept_n5lsSxARAB,ChcIiI_l6vaCwc8fGgsvZy8xdGRzbWR6dxAB,Hotel Barcelona Center
CgsIhtept_n5lsSxARAB,ChgIgIuk65jOkchlGgwvZy8xMV90aHBtcnEQAQ,Hotel SB Plaça Europa
CgsIhtept_n5lsSxARAB,ChgIhfaF_O3br-N5GgwvZy8xMmhwMzNtODgQAQ,Hotel Madanis
CgsIhtept_n5lsSxARAB,ChgIifbk6N_ShPQIGgwvZy8xcHR3emtrbjkQAQ,Hostalin Barcelona Passeig de Gràcia
CgsIhtept_n5lsSxARAB,ChgI9aWv5ZL2p7QUGgwvZy8xaGMzdzB4MjgQAQ,Hotel Viladomat
CgsIhtept_n5lsSxARAB,ChcI-cvLspPDi946GgsvZy8xeHRkenF4OBAB,Hotel Colonial Barcelona
CgsIlfeR45ngz6HSARAB,ChcI-cvLspPDi946GgsvZy8xeHRkenF4OBAB,Hotel Colonial Barcelona
CgsIlfeR45ngz6HSARAB,ChgIifbk6N_ShPQIGgwvZy8xcHR3emtrbjkQAQ,Hostalin Barcelona Passeig de Gràcia
